resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,88.4,6,194.5,0
2,297.11,39,418.29,1
3,413.68,23,467.59,1
4,155.66,13,264.11,0
5,345.6,13,207.14,0
6,237.3,51,317.02,1
7,446.77,17,99.84,0
8,286.79,33,295.38,1
9,496.66,22,277.79,1
10,128.84,43,402.09,1
11,63.56,1,58.53,0
12,179.32,30,39.14,0
13,391.82,31,204.91,1
14,274.43,58,236.95,0
15,462.89,40,280.24,1
16,497.24,35,439.79,1
17,461.9,47,13.15,0
18,89.53,49,471.27,1
19,299.13,6,432.77,1
20,365.57,48,489.39,1
21,460.29,50,151.76,1
22,81.74,20,381.34,0
23,310.18,37,361.07,1
24,36.51,11,304.46,0
25,374.13,52,118.43,0
26,290.75,31,294.0,1
27,72.04,1,339.89,0
28,65.7,28,415.79,0
29,266.99,5,294.21,0
30,252.07,47,260.21,0
31,273.79,18,465.04,1
32,488.77,22,236.55,1
33,489.53,36,344.21,1
34,154.87,31,384.64,0
35,46.67,37,337.55,0
36,153.03,7,277.93,0
37,408.62,14,156.54,1
38,139.28,22,92.0,0
39,79.71,55,413.95,0
40,305.91,17,370.3,1
41,348.5,46,324.79,1
42,95.19,21,463.88,1
43,38.45,58,394.64,0
44,90.26,57,455.26,1
45,125.81,39,397.56,0
46,187.04,49,214.69,0
47,285.61,11,357.51,1
48,457.5,28,380.82,1
49,181.13,58,212.02,0
50,320.75,24,148.79,0
51,334.82,43,242.31,1
52,148.53,16,52.21,0
53,281.52,30,196.32,0
54,491.55,25,392.7,1
55,498.43,40,306.5,1
56,218.08,58,402.29,1
57,413.88,29,203.68,1
58,173.73,12,484.78,1
59,403.58,41,314.51,1
60,195.13,50,410.9,1
61,391.66,59,59.59,0
62,48.32,36,149.95,0
63,108.09,19,35.44,0
64,317.96,55,20.82,0
65,116.72,24,113.89,0
66,156.25,44,446.26,1
67,341.06,9,207.67,0
68,154.6,12,41.31,0
69,166.17,20,46.73,0
70,411.84,57,329.29,1
71,67.69,30,336.97,0
72,29.12,56,186.49,0
73,416.93,4,487.45,1
74,451.7,7,11.06,0
75,341.63,14,112.02,0
76,317.12,21,283.88,1
77,446.67,8,137.1,1
78,270.06,6,408.56,1
79,66.2,59,69.92,0
80,194.06,30,192.27,0
81,225.95,12,340.9,1
82,426.81,54,68.37,0
83,309.39,55,116.7,0
84,41.91,45,180.69,0
85,332.9,46,316.03,1
86,422.25,40,249.47,1
87,50.74,31,482.16,0
88,459.77,27,468.98,1
89,41.35,39,238.67,0
90,349.31,10,109.46,0
91,189.71,26,154.42,0
92,256.68,8,345.42,1
93,95.99,53,63.29,0
94,94.78,32,40.7,0
95,149.08,48,135.9,0
96,400.98,21,293.2,1
97,419.77,57,481.84,1
98,397.73,48,172.34,1
99,174.97,42,53.34,0
100,176.88,44,397.34,1
101,228.64,49,438.69,1
102,86.61,44,185.51,0
103,199.6,32,257.72,0
104,278.36,12,345.92,1
105,153.86,57,343.19,0
106,91.48,38,366.52,0
107,53.15,12,333.17,0
108,232.37,39,17.69,0
109,269.5,3,180.71,0
110,160.08,40,46.82,0
111,14.12,44,36.98,0
112,241.16,31,143.73,0
113,477.41,36,406.09,1
114,293.84,35,130.58,0
115,244.72,10,249.43,0
116,232.46,43,347.9,1
117,172.02,52,235.15,0
118,300.37,58,346.55,1
119,104.01,16,451.0,0
120,447.31,2,455.17,1
121,232.36,4,143.2,0
122,336.35,15,229.5,1
123,41.15,31,159.52,0
124,189.49,47,408.87,1
125,83.99,29,147.2,0
126,101.07,35,202.49,0
127,323.84,54,83.11,0
128,332.72,11,104.56,0
129,320.17,27,290.54,1
130,170.37,14,26.22,0
131,428.88,10,416.9,1
132,391.82,42,111.98,0
133,302.41,9,143.05,0
134,193.85,25,17.25,0
135,371.67,10,492.85,1
136,140.43,46,486.47,1
137,124.81,56,370.76,0
138,24.36,57,361.13,0
139,373.84,56,12.04,0
140,88.83,23,225.69,0
141,172.9,35,112.1,0
142,245.53,49,341.01,1
143,243.56,48,391.57,1
144,402.11,27,231.64,1
145,74.99,39,208.68,0
146,315.47,46,281.11,1
147,265.8,21,78.91,0
148,119.93,24,31.62,0
149,162.23,37,301.1,0
150,202.3,8,372.95,1
151,68.97,37,276.23,0
152,34.59,19,313.86,0
153,86.06,3,127.69,0
154,206.78,39,322.14,0
155,429.3,57,80.79,0
156,154.94,57,25.55,0
157,411.94,25,146.14,1
158,441.07,20,73.52,0
159,120.4,53,287.74,0
160,412.99,31,441.42,1
161,239.07,56,121.33,0
162,264.62,55,366.73,1
163,391.2,30,266.69,1
164,249.65,42,233.09,0
165,323.72,59,300.24,1
166,81.59,16,228.51,0
167,40.64,17,270.21,0
168,423.53,37,126.4,1
169,269.31,26,429.85,1
170,34.54,24,260.22,0
171,382.21,13,338.8,1
172,381.99,5,104.97,0
173,134.31,15,235.24,0
174,354.73,27,40.94,0
175,480.42,1,27.26,0
176,296.8,58,238.36,1
177,439.18,5,441.4,1
178,63.41,40,286.67,0
179,54.29,29,16.7,0
180,189.22,37,188.71,0
181,74.42,22,144.09,0
182,496.85,35,326.98,1
183,92.78,1,144.51,0
184,253.0,53,328.95,1
185,46.82,8,367.12,0
186,30.87,25,198.84,0
187,379.88,59,206.99,1
188,336.78,3,428.92,1
189,201.3,46,123.98,0
190,416.41,23,451.24,1
191,366.75,4,152.73,0
192,266.44,1,341.42,1
193,387.06,45,175.79,1
194,314.38,32,482.18,1
195,50.75,9,91.7,0
196,132.77,54,327.95,0
197,272.47,47,212.2,0
198,158.85,22,98.66,0
199,283.99,15,296.33,1
200,335.41,29,450.54,1
201,159.91,55,109.8,0
202,300.84,49,28.56,0
203,149.75,40,403.84,1
204,342.35,46,218.66,1
205,15.69,42,404.38,0
206,484.58,16,219.69,1
207,271.45,43,18.02,0
208,194.58,58,367.44,1
209,224.79,58,455.01,1
210,91.05,43,374.2,0
211,460.34,14,395.03,1
212,246.73,8,430.44,1
213,252.88,45,438.98,1
214,69.9,10,302.33,0
215,254.75,36,146.83,0
216,143.06,12,379.88,0
217,230.12,58,463.57,1
218,354.35,57,205.11,1
219,361.86,17,482.46,1
220,132.25,45,266.31,0
221,250.82,54,76.64,0
222,442.26,58,327.04,1
223,299.82,33,284.08,1
224,139.76,50,337.97,0
225,88.84,47,380.44,0
226,93.84,31,448.75,1
227,181.09,14,145.01,0
228,88.78,51,19.77,0
229,395.06,44,53.73,0
230,475.99,17,48.79,0
231,496.51,35,301.49,1
232,353.85,39,191.39,1
