project_id,industry,team_size,budget_k,duration_months,complexity,vendor_count,risk_score,stakeholder_engagement,actual_cost_k,success,satisfaction
P0001,Manufacturing,18,167,3,6.42,3,0.89,1,252.18,0,0.24
P0002,Finance,20,215,16,4.04,3,0.87,4,289.49,0,9.41
P0003,Retail,17,473,3,6.24,2,0.47,4,637.12,0,8.71
P0004,Finance,3,470,8,6.51,4,0.7,2,690.25,0,4.21
P0005,Retail,17,132,3,3.84,2,0.99,5,201.69,0,10.0
P0006,Manufacturing,7,230,11,4.73,2,0.67,1,303.64,0,1.63
P0007,Finance,8,144,3,6.61,4,0.45,1,205.79,0,1.96
P0008,Retail,5,427,5,8.92,2,0.87,3,705.17,0,6.05
P0009,Healthcare,7,316,14,1.08,3,0.4,4,331.42,1,9.1
P0010,Finance,11,378,22,4.56,6,0.77,2,528.14,0,3.75
P0011,Finance,17,75,19,7.53,3,0.61,2,139.86,0,3.75
P0012,Finance,18,91,21,8.91,0,0.09,2,122.12,0,4.06
P0013,Finance,6,309,13,1.88,3,0.1,5,301.73,1,10.0
P0014,Retail,17,198,6,4.66,0,0.7,4,257.09,0,7.89
P0015,Retail,12,444,16,7.88,3,0.34,5,636.62,0,8.72
P0016,Finance,11,239,4,8.05,1,0.7,1,377.7,0,2.64
P0017,Retail,20,339,21,5.99,1,0.22,5,430.23,0,10.0
P0018,Retail,10,89,14,1.51,5,0.74,3,129.4,0,3.71
P0019,Retail,20,155,3,5.1,1,0.23,4,192.54,0,8.73
P0020,Retail,17,137,3,8.85,2,0.95,1,256.14,0,1.92
P0021,Finance,13,320,23,9.62,2,0.73,1,530.05,0,1.45
P0022,Retail,7,473,16,5.66,0,0.72,4,688.14,0,7.87
P0023,Technology,14,361,21,7.72,0,0.22,1,533.28,0,3.34
P0024,Manufacturing,6,108,20,3.17,0,0.02,1,96.42,1,4.57
P0025,Healthcare,11,277,9,8.09,1,0.46,3,420.81,0,7.2
P0026,Healthcare,4,407,4,8.76,3,0.27,4,603.3,0,7.74
P0027,Finance,6,176,13,9.83,2,0.79,4,284.41,0,6.32
P0028,Healthcare,18,469,22,1.48,1,0.77,5,537.05,0,10.0
P0029,Finance,10,74,7,4.78,3,0.13,1,62.57,1,0.95
P0030,Healthcare,10,175,11,3.55,1,0.79,5,242.57,0,10.0
P0031,Retail,14,464,12,1.63,0,0.89,4,556.79,0,6.61
P0032,Healthcare,13,276,3,3.76,3,0.43,2,326.94,0,3.83
P0033,Healthcare,6,244,23,3.93,1,0.13,2,239.21,1,8.06
P0034,Technology,6,123,15,7.21,3,0.24,1,167.67,0,0.42
P0035,Healthcare,9,359,14,6.6,2,0.09,4,435.62,0,9.66
P0036,Technology,17,143,21,7.55,2,0.44,1,217.93,0,1.84
P0037,Technology,18,53,17,1.83,0,0.09,5,51.61,1,10.0
P0038,Manufacturing,9,407,8,3.27,1,0.13,2,437.83,1,5.99
P0039,Finance,16,279,19,8.48,3,0.8,1,478.25,0,0.65
P0040,Retail,13,188,21,5.99,2,0.36,2,229.47,0,2.34
P0041,Retail,8,474,7,9.44,1,0.7,2,780.9,0,3.72
P0042,Healthcare,15,168,17,4.47,1,0.63,3,197.59,0,4.58
P0043,Finance,15,424,12,2.55,2,0.24,3,447.22,1,8.54
P0044,Healthcare,17,335,6,7.76,4,0.29,3,501.45,0,5.51
P0045,Manufacturing,12,395,7,1.65,0,0.98,2,501.71,0,4.21
P0046,Healthcare,6,267,21,3.46,1,0.89,1,339.39,0,0.53
P0047,Finance,6,222,22,3.97,3,0.89,3,321.18,0,5.2
P0048,Finance,7,415,12,9.04,3,0.15,4,596.03,0,7.96
P0049,Technology,5,382,12,2.38,2,0.97,5,492.56,0,9.03
P0050,Technology,16,272,15,1.02,4,0.7,2,315.53,0,5.35
P0051,Finance,13,446,3,9.92,3,0.54,5,735.96,0,10.0
P0052,Manufacturing,19,463,3,5.52,6,0.17,2,573.71,0,2.44
P0053,Healthcare,7,450,7,6.23,1,0.63,3,624.85,0,6.82
P0054,Technology,14,384,10,2.66,1,0.72,4,459.79,0,5.8
P0055,Finance,3,259,8,2.57,2,0.61,4,305.37,0,6.39
P0056,Retail,6,264,8,4.89,3,0.82,2,389.29,0,3.12
P0057,Manufacturing,4,329,11,6.08,1,0.27,1,420.15,0,1.38
P0058,Retail,18,328,16,1.96,6,0.15,3,299.45,1,9.49
P0059,Finance,20,257,23,9.07,1,0.48,4,401.29,0,8.33
P0060,Manufacturing,20,204,9,3.44,2,0.34,5,208.68,1,10.0
P0061,Technology,14,147,17,6.63,3,0.83,4,238.08,0,7.0
P0062,Technology,17,172,5,6.46,3,0.87,2,267.87,0,4.56
P0063,Healthcare,9,445,17,5.84,1,0.02,4,530.04,0,8.2
P0064,Healthcare,3,391,12,2.8,2,0.78,3,471.04,0,5.64
P0065,Healthcare,15,317,10,2.73,4,0.55,1,399.79,0,1.96
P0066,Finance,7,465,3,2.44,0,0.97,2,618.23,0,5.85
P0067,Healthcare,19,120,6,6.48,3,0.42,5,151.52,0,9.84
P0068,Technology,17,326,10,5.13,2,0.95,3,484.49,0,7.06
P0069,Healthcare,19,91,19,7.49,1,0.21,3,121.2,0,4.92
P0070,Technology,3,476,15,8.04,1,0.41,3,677.21,0,6.42
P0071,Retail,14,500,10,7.06,1,0.01,4,610.59,0,6.7
P0072,Finance,20,316,20,9.59,3,0.62,1,511.53,0,1.47
P0073,Retail,11,362,5,4.83,0,0.21,1,434.19,0,1.21
P0074,Manufacturing,3,262,14,6.45,0,0.73,5,379.44,0,10.0
P0075,Technology,7,235,8,1.29,4,0.9,2,252.04,0,2.74
P0076,Healthcare,15,248,22,8.85,1,0.03,5,346.54,0,8.68
P0077,Manufacturing,20,373,6,6.68,1,0.48,3,512.06,0,5.36
P0078,Technology,19,498,7,5.79,1,0.45,5,651.32,0,8.95
P0079,Healthcare,15,291,3,4.38,2,0.96,2,401.48,0,1.17
P0080,Healthcare,18,324,13,5.07,5,0.26,2,392.2,0,3.21
P0081,Retail,7,485,8,7.73,1,0.39,4,670.97,0,8.99
P0082,Technology,10,110,3,6.92,3,0.83,1,156.18,0,2.79
P0083,Retail,5,461,16,6.26,4,0.51,5,628.08,0,10.0
P0084,Retail,19,149,8,7.55,3,0.29,1,187.53,0,1.72
P0085,Manufacturing,19,162,13,6.44,1,0.78,5,212.13,0,9.55
P0086,Finance,5,158,14,8.91,1,0.94,2,242.38,0,4.3
P0087,Retail,18,377,15,1.09,1,0.59,1,419.34,0,1.98
P0088,Technology,20,95,3,1.11,1,0.51,3,92.72,0,5.7
P0089,Manufacturing,17,415,20,9.28,3,0.18,3,605.86,0,5.65
P0090,Retail,19,170,4,5.11,0,0.41,5,216.37,0,8.43
P0091,Manufacturing,3,429,23,9.54,3,1.0,2,755.42,0,3.89
P0092,Finance,14,147,21,3.39,0,0.53,2,141.65,0,5.76
P0093,Technology,8,170,21,2.8,2,0.07,4,171.27,1,9.67
P0094,Healthcare,3,397,7,3.09,3,0.7,5,496.99,0,10.0
P0095,Finance,4,138,19,9.69,1,0.0,5,220.88,0,9.44
P0096,Technology,14,269,17,9.71,2,0.7,1,442.16,0,1.52
P0097,Retail,16,190,8,7.83,0,0.97,4,307.69,0,7.16
P0098,Manufacturing,13,188,23,9.87,2,0.47,2,318.15,0,3.96
P0099,Healthcare,5,82,21,4.97,2,0.91,2,99.99,0,4.77
P0100,Healthcare,14,114,6,9.89,1,0.58,5,205.77,0,8.59
P0101,Finance,6,442,12,4.63,0,0.94,3,639.43,0,4.94
P0102,Technology,8,123,15,2.98,3,0.64,1,163.36,0,1.47
P0103,Healthcare,12,445,6,4.83,1,0.02,3,511.05,1,8.46
P0104,Technology,14,191,17,6.55,5,0.73,3,285.72,0,6.57
P0105,Healthcare,11,412,10,7.36,5,0.37,5,602.85,0,10.0
P0106,Manufacturing,17,96,6,3.78,5,0.82,3,134.45,0,6.51
P0107,Finance,11,228,5,5.52,1,0.77,5,325.41,0,10.0
P0108,Technology,14,143,5,4.43,2,0.09,4,150.69,1,9.57
P0109,Manufacturing,6,453,20,4.49,2,0.46,1,573.44,0,3.3
P0110,Retail,14,215,10,3.07,0,0.95,2,291.62,0,3.88
P0111,Retail,8,395,16,8.03,3,0.46,1,596.38,0,2.2
P0112,Manufacturing,16,168,14,3.84,3,0.26,3,203.72,0,6.66
P0113,Manufacturing,5,348,7,3.4,2,0.21,1,375.43,1,3.86
P0114,Healthcare,5,59,17,4.04,3,0.96,2,73.7,0,2.25
P0115,Technology,6,359,20,3.27,2,0.55,3,414.03,0,5.64
